idx,img,attr,rel,graph
0,0.3383813500404358,0.14860983192920685,0.18264132738113403,0.33036744594573975
1,0.14558182656764984,0.2220153659582138,0.4870474338531494,0.14535541832447052
2,0.33254629373550415,0.15135549008846283,0.1810683012008667,0.3350299298763275
3,0.33149802684783936,0.166448175907135,0.17320625483989716,0.3288475573062897
4,0.28663820028305054,0.1769545078277588,0.24532294273376465,0.29108431935310364
5,0.3205592632293701,0.16465434432029724,0.19615311920642853,0.3186332881450653
6,0.33108624815940857,0.15962277352809906,0.18117250502109528,0.3281184434890747
7,0.33155137300491333,0.1599206030368805,0.1808578372001648,0.32767021656036377
8,0.32592302560806274,0.16020648181438446,0.18627499043941498,0.3275955021381378
9,0.290008008480072,0.16386932134628296,0.13794976472854614,0.4081729054450989
10,0.2686390280723572,0.16246242821216583,0.13667257130146027,0.4322260320186615
11,0.3243574798107147,0.16050584614276886,0.1959947645664215,0.3191419243812561
12,0.31162920594215393,0.15965256094932556,0.21542032063007355,0.31329789757728577
13,0.3009165823459625,0.17413125932216644,0.2253187596797943,0.2996334433555603
14,0.32767874002456665,0.16286107897758484,0.18413786590099335,0.32532230019569397
15,0.34636190533638,0.15754738450050354,0.1593305468559265,0.33676016330718994
16,0.31652310490608215,0.16273728013038635,0.20338056981563568,0.31735900044441223
17,0.31122279167175293,0.1645507663488388,0.13875772058963776,0.3854687213897705
18,0.33781298995018005,0.15729060769081116,0.16532069444656372,0.33957570791244507
19,0.31291618943214417,0.16582034528255463,0.20914772152900696,0.31211572885513306
20,0.33342278003692627,0.1625288724899292,0.17356553673744202,0.33048275113105774
21,0.29021790623664856,0.17120401561260223,0.2462964951992035,0.2922815680503845
22,0.3069336712360382,0.1696961522102356,0.2180619090795517,0.3053082823753357
23,0.3209632933139801,0.16458870470523834,0.19325008988380432,0.32119789719581604
24,0.29041096568107605,0.1723739057779312,0.2446606457233429,0.29255449771881104
25,0.34192955493927,0.14709070324897766,0.16437894105911255,0.3466007709503174
26,0.333619624376297,0.15683968365192413,0.17894238233566284,0.33059826493263245
27,0.3292276859283447,0.15672621130943298,0.18542473018169403,0.32862141728401184
28,0.3218577802181244,0.16694612801074982,0.18645749986171722,0.3247385323047638
29,0.298954039812088,0.16580237448215485,0.24360288679599762,0.2916406989097595
30,0.28814107179641724,0.17660847306251526,0.24827469885349274,0.2869757413864136
31,0.2896788716316223,0.17673544585704803,0.24540922045707703,0.2881764769554138
32,0.2850714921951294,0.17111961543560028,0.2574099004268646,0.2863989770412445
33,0.30548566579818726,0.18748995661735535,0.20330052077770233,0.30372384190559387
34,0.3284141719341278,0.16312545537948608,0.18144890666007996,0.32701146602630615
35,0.28719231486320496,0.18028001487255096,0.2457771599292755,0.28675055503845215
36,0.2880042493343353,0.17679131031036377,0.2453032284975052,0.2899012565612793
37,0.3305274546146393,0.15984117984771729,0.1804027110338211,0.3292286694049835
38,0.3288043439388275,0.1630215048789978,0.1832120269536972,0.32496213912963867
39,0.31701424717903137,0.16782186925411224,0.19653913378715515,0.31862473487854004
40,0.3212459981441498,0.16403241455554962,0.19157105684280396,0.32315054535865784
41,0.340098112821579,0.14736439287662506,0.16428445279598236,0.3482530117034912
42,0.3202584981918335,0.16420897841453552,0.19060355424880981,0.32492902874946594
43,0.3093247711658478,0.17845697700977325,0.20249244570732117,0.309725821018219
44,0.30735155940055847,0.1558784395456314,0.22549490630626678,0.3112751245498657
45,0.3233679533004761,0.16105861961841583,0.1986023336648941,0.3169711232185364
46,0.3301471769809723,0.1661725789308548,0.17656998336315155,0.327110230922699
47,0.29532650113105774,0.1768030822277069,0.230134978890419,0.29773545265197754
48,0.32929083704948425,0.15763677656650543,0.1855277419090271,0.3275446593761444
49,0.3145042955875397,0.14375624060630798,0.13557590544223785,0.4061634838581085
50,0.33252671360969543,0.15031328797340393,0.18450434505939484,0.332655668258667
51,0.28924664855003357,0.17635180056095123,0.2495446354150772,0.284856915473938
52,0.32647478580474854,0.15782885253429413,0.19353508949279785,0.3221611976623535
53,0.288413941860199,0.1767681986093521,0.24652674794197083,0.2882910966873169
54,0.3119964599609375,0.1709645390510559,0.20098505914211273,0.31605398654937744
55,0.34152334928512573,0.15794849395751953,0.16656941175460815,0.3339587450027466
56,0.28314268589019775,0.183083638548851,0.2481282651424408,0.285645455121994
57,0.29298409819602966,0.17072249948978424,0.24499283730983734,0.29130053520202637
58,0.3269205391407013,0.1427638679742813,0.135597825050354,0.3947177529335022
59,0.33147355914115906,0.15298530459403992,0.18513280153274536,0.3304082751274109
60,0.2838701903820038,0.16441889107227325,0.2700040936470032,0.281706839799881
