rank,sorted_distance,sorted_idx
290,9.505698835710064e-05,26400
291,9.506085189059377e-05,1470
292,9.507343202130869e-05,6054
293,9.508633957011625e-05,4480
294,9.508885705145076e-05,22609
295,9.509110532235354e-05,15739
296,9.510746167507023e-05,2334
297,9.514861449133605e-05,6675
298,9.517005673842505e-05,3994
299,9.51718830037862e-05,2155
300,9.520929597783834e-05,16120
301,9.522477921564132e-05,17845
302,9.522535401629284e-05,19042
303,9.525244240649045e-05,11175
304,9.527607471682131e-05,4812
305,9.529147064313293e-05,1317
306,9.529605449642986e-05,23929
307,9.530602255836129e-05,11431
308,9.532530384603888e-05,20046
309,9.533359843771905e-05,16810
310,9.533848788123578e-05,11679
311,9.535093704471365e-05,11535
312,9.535544086247683e-05,6185
313,9.535615390632302e-05,1756
314,9.536899597151205e-05,20753
315,9.539836901240051e-05,22701
316,9.541065082885325e-05,18505
317,9.54299684963189e-05,13727
318,9.54323259065859e-05,23151
319,9.547205263515934e-05,2352
320,9.54879360506311e-05,19215
321,9.551398397888988e-05,15362
322,9.552074334351346e-05,29106
323,9.552578558214009e-05,11357
324,9.555502037983388e-05,6399
325,9.557659359415993e-05,3980
326,9.557692101225257e-05,18150
327,9.557808516547084e-05,4641
328,9.557907469570637e-05,7913
329,9.558985038893297e-05,19149
330,9.559492173139006e-05,11750
331,9.562227933201939e-05,26769
332,9.563925414113328e-05,28451
333,9.564479114487767e-05,24563
334,9.564511856297031e-05,5016
335,9.565140499034896e-05,6334
336,9.567628148943186e-05,11515
337,9.568488894728944e-05,4026
338,9.568662062520161e-05,28140
339,9.570989641360939e-05,20709
340,9.571383270667866e-05,6896
341,9.572242561262101e-05,26445
342,9.574399155098945e-05,4218
343,9.575824515195563e-05,12701
344,9.577412129146978e-05,7940
345,9.577674063621089e-05,21842
346,9.577927994541824e-05,5943
347,9.578520257491618e-05,3769
348,9.581199265085161e-05,23325
349,9.58177333814092e-05,17071
350,9.582068014424294e-05,9417
351,9.582887287251651e-05,7314
352,9.583651990396902e-05,4146
353,9.58432792685926e-05,6361
354,9.585266525391489e-05,6504
355,9.587818931322545e-05,24132
356,9.58866294240579e-05,25846
357,9.588707325747237e-05,2547
358,9.589012915967032e-05,20015
359,9.589033288648352e-05,28385
360,9.589090041117743e-05,11005
361,9.590968693373725e-05,3001
362,9.59140234044753e-05,24303
363,9.592270362190902e-05,12620
364,9.59253593464382e-05,21355
365,9.59261305979453e-05,29735
366,9.593353752279654e-05,1204
367,9.594370203558356e-05,385
368,9.595658048056066e-05,3539
369,9.59657336352393e-05,21318
370,9.59705575951375e-05,26624
371,9.598624455975369e-05,15788
372,9.599247277947143e-05,27276
373,9.602398495189846e-05,10756
374,9.602541831554845e-05,4741
375,9.603179205441847e-05,14120
376,9.604098158888519e-05,12987
377,9.606481762602925e-05,21466
378,9.607675019651651e-05,1949
379,9.608025720808655e-05,24198
380,9.609154949430376e-05,14111
381,9.609263361198828e-05,1132
382,9.609973494661972e-05,21307
383,9.610533015802503e-05,9536
384,9.612286521587521e-05,1983
385,9.61365585681051e-05,1785
386,9.613775910111144e-05,28057
387,9.614074224373326e-05,3609
388,9.614518057787791e-05,23086
389,9.617285104468465e-05,26303
390,9.61761106736958e-05,29802
391,9.617623436497524e-05,18813
392,9.617683826945722e-05,12133
393,9.618179319659248e-05,3847
394,9.620154014555737e-05,15746
395,9.621014760341495e-05,19825
396,9.622649668017402e-05,11523
397,9.624318045098335e-05,14863
398,9.624705126043409e-05,29658
399,9.625837265048176e-05,3861
400,9.62636768235825e-05,1442
401,9.62660851655528e-05,9464
402,9.628041880205274e-05,4101
403,9.628457337385044e-05,2641
404,9.628490806790069e-05,9803
405,9.629363921703771e-05,18762
406,9.63033817242831e-05,22188
407,9.631195280235261e-05,11030
408,9.635092283133417e-05,8956
409,9.635128662921488e-05,633
410,9.635931201046333e-05,25942
411,9.636546019464731e-05,19593
412,9.637334005674347e-05,27
413,9.639836207497865e-05,22483
414,9.64018763625063e-05,11115
415,9.640188363846391e-05,17077
416,9.641503129387274e-05,1689
417,9.641509677749127e-05,21583
418,9.643552039051428e-05,13269
419,9.643552039051428e-05,22105
420,9.645349200582132e-05,11588
421,9.64581486186944e-05,23260
422,9.647313709137961e-05,2452
423,9.649433923186734e-05,11041
424,9.649433923186734e-05,27793
425,9.650974243413657e-05,6847
426,9.65237122727558e-05,19369
427,9.652895823819563e-05,25112
428,9.654042514739558e-05,13934
429,9.655024769017473e-05,19768
430,9.655091707827523e-05,5942
431,9.656667680246755e-05,14889
432,9.656912152422592e-05,14055
433,9.659447096055374e-05,11769
434,9.659816714702174e-05,17725
435,9.660448995418847e-05,7836
436,9.660624345997348e-05,28695
437,9.661961667006835e-05,28848
438,9.662450611358508e-05,10783
439,9.662847878644243e-05,24334
440,9.665422840043902e-05,10397
441,9.667676204117015e-05,24567
442,9.668308484833688e-05,13278
443,9.66841253102757e-05,18982
444,9.669270366430283e-05,11894
445,9.669306746218354e-05,23432
446,9.671159205026925e-05,3422
447,9.671159205026925e-05,21284
448,9.675147157395259e-05,22538
449,9.678193600848317e-05,25383
450,9.678286005510017e-05,16818
451,9.679183131083846e-05,24272
452,9.679418144514784e-05,3174
453,9.680204675532877e-05,7705
454,9.680999937700108e-05,20390
455,9.681235678726807e-05,1082
456,9.683054668130353e-05,29712
457,9.68527456279844e-05,9535
458,9.68551030382514e-05,10137
459,9.686576959211379e-05,9883
460,9.687378769740462e-05,24837
461,9.68765962170437e-05,29884
462,9.688222053227946e-05,22265
463,9.688288264442235e-05,24260
464,9.690187289379537e-05,7344
465,9.690288425190374e-05,10751
466,9.692140883998945e-05,19619
467,9.692527237348258e-05,10774
468,9.692527237348258e-05,18742
469,9.693968604551628e-05,24691
470,9.694125765236095e-05,9686
471,9.694362233858556e-05,21921
472,9.695193875813857e-05,27200
473,9.69533939496614e-05,19221
474,9.696197957964614e-05,19929
475,9.697405039332807e-05,24227
476,9.699224756332114e-05,16377
477,9.699275688035414e-05,26983
478,9.69939719652757e-05,11149
479,9.699823567643762e-05,15013
480,9.700295777292922e-05,21011
481,9.700731607154012e-05,15989
482,9.702733950689435e-05,27913
483,9.702801617095247e-05,22213
484,9.703175601316616e-05,26988
485,9.703648538561538e-05,7703
486,9.703831892693415e-05,4091
487,9.705193224363029e-05,23486
488,9.705233242129907e-05,13746
489,9.705842967377976e-05,13617
490,9.706116543384269e-05,25400
491,9.708393190521747e-05,8162
492,9.710618905955926e-05,2723
493,9.713342296890914e-05,10160
494,9.714336920296773e-05,11856
495,9.714678162708879e-05,23933
496,9.716190834296867e-05,27676
497,9.716647036839277e-05,6095
498,9.717222565086558e-05,10007
499,9.71774134086445e-05,15311
500,9.717920329421759e-05,16657
501,9.718092042021453e-05,2087
502,9.718558430904523e-05,29234
503,9.719168883748353e-05,7984
504,9.719363151816651e-05,3964
505,9.721110836835578e-05,2712
506,9.72393318079412e-05,299
507,9.723971743369475e-05,16296
508,9.724319534143433e-05,1488
509,9.725084964884445e-05,14392
510,9.725699783302844e-05,14995
511,9.726281859911978e-05,21353
512,9.726876305649057e-05,25245
513,9.727096039569005e-05,14301
514,9.727169526740909e-05,14453
515,9.727366705192253e-05,16501
516,9.727388533065096e-05,14083
517,9.72840643953532e-05,25264
518,9.72903217189014e-05,20514
519,9.729851444717497e-05,3955
520,9.729851444717497e-05,24500
521,9.731322643347085e-05,9228
522,9.732117177918553e-05,13576
523,9.732809121487662e-05,28257
524,9.734329069033265e-05,6196
525,9.735288040246814e-05,26753
526,9.737774234963581e-05,11300
527,9.738119842950255e-05,1751
528,9.738119842950255e-05,19689
529,9.738247172208503e-05,5870
530,9.738677908899263e-05,23091
531,9.740703535499051e-05,29183
532,9.741793473949656e-05,14197
533,9.742441034177318e-05,28548
534,9.744480485096574e-05,18495
535,9.745183342602104e-05,26885
536,9.746150317369029e-05,22075
537,9.747030708240345e-05,3330
538,9.747051808517426e-05,1127
539,9.747136937221512e-05,6554
540,9.747454896569252e-05,28341
541,9.747606236487627e-05,24979
542,9.748167940415442e-05,19610
543,9.74916183622554e-05,22980
544,9.75033690338023e-05,20012
545,9.751348261488602e-05,15483
546,9.751594188855961e-05,11060
547,9.751848847372457e-05,20336
548,9.752534970175475e-05,11457
549,9.752627374837175e-05,24767
550,9.753279300639406e-05,29005
551,9.753744961926714e-05,22775
552,9.754417988006026e-05,25631
553,9.755099745234475e-05,9186
554,9.75765215116553e-05,21447
555,9.75791917880997e-05,23689
556,9.760075772646815e-05,17222
557,9.760423563420773e-05,27885
558,9.760531247593462e-05,27251
559,9.761224646354094e-05,13100
560,9.764180867932737e-05,24508
561,9.76477240328677e-05,28283
562,9.765267896000296e-05,15793
563,9.768347081262618e-05,5995
564,9.768459131009877e-05,6106
565,9.76889205048792e-05,15270
566,9.772610064828768e-05,7738
567,9.772904013516381e-05,23921
568,9.772976773092523e-05,17158
569,9.774798672879115e-05,16830
570,9.775012586032972e-05,15052
571,9.776656952453777e-05,1499
572,9.778865933185443e-05,12181
573,9.779940592125058e-05,20502
574,9.780232358025387e-05,5685
575,9.781769040273502e-05,29249
576,9.781826520338655e-05,5230
577,9.782810957403854e-05,10627
578,9.783077257452533e-05,6023
579,9.784089343156666e-05,27903
580,9.785387373995036e-05,24617
581,9.785490692593157e-05,26822
582,9.785650036064908e-05,10006
583,9.787004819372669e-05,23101
584,9.787115413928404e-05,18681
585,9.788266470422968e-05,2005
586,9.7883035778068e-05,19542
587,9.790171316126361e-05,28602
588,9.790231706574559e-05,11033
589,9.794236393645406e-05,8445
590,9.794966172194108e-05,5968
591,9.795409278012812e-05,34
592,9.79676769929938e-05,20372
593,9.798700921237469e-05,26104
594,9.799028339330107e-05,4795
595,9.799309918889776e-05,3410
596,9.800934640225023e-05,17516
597,9.80114855337888e-05,1150
598,9.801263513509184e-05,18091
599,9.801639680517837e-05,3710
600,9.801652777241543e-05,15549
601,9.801681153476238e-05,16312
602,9.801970736589283e-05,3396
603,9.802212298382074e-05,13143
604,9.802429849514738e-05,4931
605,9.8025644547306e-05,1246
606,9.802771091926843e-05,5573
607,9.803679859032854e-05,1474
608,9.80588374659419e-05,15591
609,9.805941226659343e-05,10333
610,9.806211164686829e-05,24693
611,9.806910384213552e-05,16242
612,9.807378955883905e-05,3059
613,9.809455514186993e-05,20264
614,9.809481707634404e-05,4371
615,9.810265328269452e-05,9733
616,9.81150587904267e-05,16314
617,9.811753261601552e-05,12783
618,9.813442011363804e-05,11581
619,9.814692020881921e-05,9353
620,9.814700752031058e-05,25796
621,9.815239172894508e-05,23875
622,9.81575867626816e-05,10029
623,9.816554666031152e-05,11634
624,9.818107355386019e-05,21531
625,9.818160469876602e-05,22866
626,9.819722617976367e-05,29543
627,9.821018466027454e-05,24083
628,9.82113488134928e-05,2488
629,9.821532876230776e-05,8834
630,9.821590356295928e-05,7135
631,9.822480933507904e-05,21101
632,9.82277124421671e-05,24706
633,9.82311976258643e-05,29173
634,9.823157597566023e-05,19538
635,9.823846630752087e-05,19950
636,9.824687731452286e-05,21865
637,9.826048335526139e-05,10915
638,9.826679161051288e-05,9893
639,9.826951281866059e-05,4225
640,9.829168993746862e-05,11705
641,9.831527131609619e-05,763
642,9.83288191491738e-05,18735
643,9.832966316025704e-05,5112
644,9.833233343670145e-05,957
645,9.833597141550854e-05,1238
646,9.834794036578387e-05,9272
647,9.836012031883001e-05,5107
648,9.836602839641273e-05,18834
649,9.8368116596248e-05,19154
650,9.83724748948589e-05,27352
651,9.837804827839136e-05,13361
652,9.837876132223755e-05,23530
653,9.838649566518143e-05,12397
654,9.838694677455351e-05,5697
655,9.839168342296034e-05,3664
656,9.839217091212049e-05,15789
657,9.839684935286641e-05,14992
658,9.841543942457065e-05,20945
659,9.843230509432033e-05,9568
660,9.8432443337515e-05,25519
661,9.843698353506625e-05,24494
662,9.843820589594543e-05,25722
663,9.843838051892817e-05,9642
664,9.844760643318295e-05,3584
665,9.845582826528698e-05,28704
666,9.845609747571871e-05,6942
667,9.848432091530412e-05,8595
668,9.848702029557899e-05,257
669,9.851301001617685e-05,14389
670,9.852537914412096e-05,5923
671,9.852684161160141e-05,25300
672,9.852882794803008e-05,4262
673,9.852897346718237e-05,11503
674,9.853235678747296e-05,8254
675,9.853680239757523e-05,3191
676,9.853684605332091e-05,9952
677,9.855649113887921e-05,7375
678,9.856753604253754e-05,27019
679,9.857163240667433e-05,2394
680,9.857214899966493e-05,24035
681,9.857460827333853e-05,17851
682,9.85810038400814e-05,20341
683,9.858186967903748e-05,24397
684,9.858197154244408e-05,23877
685,9.858399425866082e-05,3161
686,9.859364945441484e-05,27211
687,9.859553392743692e-05,21903
688,9.8601529316511e-05,22761
689,9.860408317763358e-05,29640
690,9.860741556622088e-05,14337
691,9.86142476904206e-05,6203
692,9.862172737484798e-05,7983
693,9.862535807769746e-05,4748
694,9.862631850410253e-05,26560
695,9.8629025160335e-05,6813
696,9.863740706350654e-05,18727
697,9.864669846137986e-05,20987
698,9.864995809039101e-05,28147
699,9.865909669315442e-05,210
700,9.86648301477544e-05,26666
701,9.866822801996022e-05,635
702,9.867188055068254e-05,26468
703,9.86722152447328e-05,7186
704,9.868146298686042e-05,1325
705,9.868282359093428e-05,13125
706,9.86853992799297e-05,22132
707,9.869131463347003e-05,29186
708,9.870159556157887e-05,9644
709,9.870208305073902e-05,921
710,9.870270150713623e-05,24386
711,9.870804206002504e-05,19612
712,9.870973008219153e-05,631
713,9.871016663964838e-05,28433
714,9.874079842120409e-05,4467
715,9.874386159935966e-05,11933
716,9.874774696072564e-05,15643
717,9.87654784694314e-05,21861
718,9.877025877358392e-05,15892
719,9.87714302027598e-05,28363
720,9.878365381155163e-05,27291
721,9.880682046059519e-05,2061
722,9.880943252937868e-05,28187
723,9.881259029498324e-05,29764
724,9.881591540761292e-05,5233
725,9.881771256914362e-05,27080
726,9.883879829430953e-05,5857
727,9.884629980660975e-05,12791
728,9.885754116112366e-05,26835
729,9.885908366413787e-05,8874
730,9.886685438686982e-05,6177
731,9.887554915621877e-05,9392
732,9.887614578474313e-05,8635
733,9.888422209769487e-05,2718
734,9.888528438750654e-05,17619
735,9.889641660265625e-05,25954
736,9.891100489767268e-05,9274
737,9.891616355162114e-05,11182
738,9.891743684420362e-05,8030
739,9.891964145936072e-05,27418
740,9.892186062643304e-05,547
741,9.892295202007517e-05,11918
742,9.89238906186074e-05,2168
743,9.892435627989471e-05,1102
744,9.89243999356404e-05,6312
745,9.892657544696704e-05,26582
746,9.894022514345124e-05,13470
747,9.896139818010852e-05,21186
748,9.896407573251054e-05,1323
749,9.896455594571307e-05,3402
750,9.896943083731458e-05,18535
751,9.89750333246775e-05,18398
752,9.89838081295602e-05,6699
753,9.898649295791984e-05,12717
754,9.899349242914468e-05,26313
755,9.899700671667233e-05,11639
756,9.90014523267746e-05,359
757,9.900521399686113e-05,6954
758,9.901097655529156e-05,14632
759,9.901814337354153e-05,1142
760,9.90192565950565e-05,111
761,9.903802128974348e-05,11983
762,9.903803584165871e-05,14415
763,9.903891623253003e-05,12602
764,9.904611943056807e-05,22091
765,9.904674516292289e-05,340
766,9.905332990456372e-05,10276
767,9.907506318995729e-05,5830
768,9.907818457577378e-05,27664
769,9.908006177283823e-05,3819
770,9.90934349829331e-05,9694
771,9.90983608062379e-05,20810
772,9.910079097608104e-05,18675
773,9.911334200296551e-05,20023
774,9.911548113450408e-05,8425
775,9.911558299791068e-05,10633
776,9.911558299791068e-05,19903
777,9.912351379171014e-05,9967
778,9.912351379171014e-05,24587
779,9.913143730955198e-05,7816
780,9.913280518958345e-05,29957
781,9.914312249748036e-05,3061
782,9.914598194882274e-05,23660
783,9.915329428622499e-05,11700
784,9.91543274722062e-05,823
785,9.917228453559801e-05,16933
786,9.917275019688532e-05,24513
787,9.917595161823556e-05,25410
788,9.917675924953073e-05,4216
789,9.91777706076391e-05,24465
790,9.918416617438197e-05,24192
791,9.918733849190176e-05,10808
792,9.9191878689453e-05,27226
793,9.919830336002633e-05,19406
794,9.920437878463417e-05,5342
795,9.92174245766364e-05,10567
796,9.923197649186477e-05,21741
797,9.923680045176297e-05,18023
798,9.924180631060153e-05,16596
799,9.92550776572898e-05,3448
800,9.925925405696034e-05,2369
801,9.926002530846745e-05,16914
802,9.926705388352275e-05,6599
803,9.929305088007823e-05,12383
804,9.93016583379358e-05,29451
805,9.930627857102081e-05,11531
806,9.93154535535723e-05,29205
807,9.931551176123321e-05,5337
808,9.932024840964004e-05,15190
809,9.932053944794461e-05,2252
810,9.932398825185373e-05,511
811,9.933136607287452e-05,19806
812,9.934222180163488e-05,29635
813,9.934919944498688e-05,5511
814,9.935566049534827e-05,5086
815,9.935581329045817e-05,2015
816,9.936217247741297e-05,12320
817,9.936809510691091e-05,2779
818,9.937355935107917e-05,23598
819,9.937617869582027e-05,12460
820,9.937731374520808e-05,4489
821,9.937731374520808e-05,22276
822,9.93799912976101e-05,7911
823,9.93901994661428e-05,22389
824,9.939586743712425e-05,27699
825,9.939759183907881e-05,26655
826,9.939824667526409e-05,7313
827,9.94055371847935e-05,3341
828,9.940680320141837e-05,27128
829,9.940977179212496e-05,22073
830,9.941344615072012e-05,243
831,9.941519238054752e-05,17067
832,9.942435281118378e-05,24242
833,9.943007171386853e-05,5330
834,9.944102203007787e-05,27902
835,9.94472939055413e-05,28606
836,9.944792691385373e-05,3614
837,9.945451893145218e-05,12545
838,9.946471982402727e-05,2576
839,9.946625505108386e-05,25667
840,9.946920181391761e-05,9841
841,9.947171929525211e-05,5586
842,9.947446233127266e-05,17363
843,9.947614307748154e-05,7866
844,9.948092338163406e-05,21710
845,9.948777733370662e-05,20434
846,9.948860679287463e-05,12765
847,9.94973597698845e-05,17031
848,9.950339153874665e-05,28508
849,9.950486855814233e-05,21892
850,9.950610547093675e-05,4492
851,9.95082373265177e-05,8608
852,9.951886750059202e-05,19631
853,9.952836262527853e-05,8564
854,9.9533011962194e-05,5434
855,9.954038250725716e-05,20526
856,9.954678534995764e-05,28395
857,9.955755376722664e-05,19291
858,9.95583541225642e-05,5485
859,9.956120629794896e-05,21697
860,9.956186113413423e-05,5199
861,9.958283044397831e-05,27469
862,9.958709415514022e-05,21833
863,9.958781447494403e-05,24762
864,9.959039743989706e-05,23157
865,9.959105955203995e-05,23178
866,9.959229646483436e-05,24296
867,9.960219904314727e-05,1117
868,9.960243187379092e-05,19347
869,9.961480100173503e-05,23638
870,9.963518095901236e-05,16565
871,9.964607306756079e-05,5520
872,9.965047502191737e-05,16508
873,9.965102799469605e-05,14327
874,9.96562885120511e-05,13375
