idx,img,attr,rel,graph
0,0.3299860656261444,0.15743441879749298,0.1835949867963791,0.3289845287799835
1,0.10449806600809097,0.10285969078540802,0.688147246837616,0.10449493676424026
2,0.33258765935897827,0.1538955718278885,0.16978442668914795,0.3437322974205017
3,0.3329360783100128,0.1641528606414795,0.17291906476020813,0.32999202609062195
4,0.28609779477119446,0.18432767689228058,0.24628818035125732,0.28328630328178406
5,0.33241814374923706,0.1706654280424118,0.17140303552150726,0.3255133628845215
6,0.33040037751197815,0.16641920804977417,0.16375690698623657,0.3394234776496887
7,0.32353511452674866,0.16398298740386963,0.19598610699176788,0.316495805978775
8,0.3171428143978119,0.1634754240512848,0.20210446417331696,0.31727734208106995
9,0.2837349772453308,0.18421868979930878,0.2462756186723709,0.2857707440853119
10,0.2827460765838623,0.1844296157360077,0.24629932641983032,0.2865249514579773
11,0.3179683983325958,0.16600915789604187,0.18118816614151,0.3348342478275299
12,0.3101244270801544,0.16217778623104095,0.21122175455093384,0.316476047039032
13,0.3300513029098511,0.17343059182167053,0.1567946821451187,0.3397233486175537
14,0.32792264223098755,0.17066690325737,0.16989773511886597,0.3315127491950989
15,0.3175643980503082,0.1602475792169571,0.20167429745197296,0.32051366567611694
16,0.33032336831092834,0.1675751954317093,0.17943072319030762,0.32267072796821594
17,0.2792782783508301,0.18524974584579468,0.24638211727142334,0.2890898585319519
18,0.32135751843452454,0.16486847400665283,0.18208478391170502,0.33168917894363403
19,0.3392164707183838,0.17286096513271332,0.16144002974033356,0.3264825642108917
20,0.32724860310554504,0.17174336314201355,0.1697552651166916,0.3312527537345886
21,0.3344154357910156,0.16444146633148193,0.1397026628255844,0.3614404499530792
22,0.3409169018268585,0.16387613117694855,0.14255888760089874,0.3526480793952942
23,0.3285820484161377,0.17204932868480682,0.16493108868598938,0.3344375193119049
24,0.2354455292224884,0.16899937391281128,0.35448339581489563,0.2410716861486435
25,0.3288816511631012,0.15605512261390686,0.19016607105731964,0.3248971700668335
26,0.31550848484039307,0.15714089572429657,0.22030456364154816,0.3070460855960846
27,0.3273331820964813,0.16497723758220673,0.18052610754966736,0.3271635174751282
28,0.34373411536216736,0.17317532002925873,0.14283573627471924,0.34025484323501587
29,0.1317494958639145,0.622253954410553,0.11365894973278046,0.13233759999275208
30,0.3406446576118469,0.17301224172115326,0.1417866349220276,0.3445564806461334
31,0.34468385577201843,0.17290985584259033,0.14115233719348907,0.34125393629074097
32,0.3424505591392517,0.16376619040966034,0.13985750079154968,0.35392576456069946
33,0.332803875207901,0.17259103059768677,0.1644989550113678,0.33010613918304443
34,0.3288014829158783,0.1712086796760559,0.17386884987354279,0.32612094283103943
35,0.289028137922287,0.1779346615076065,0.24546188116073608,0.28757527470588684
36,0.2852244973182678,0.1843518614768982,0.24629245698451996,0.2841311991214752
37,0.32958248257637024,0.16118097305297852,0.1868041455745697,0.32243236899375916
38,0.330478698015213,0.17089591920375824,0.16802550852298737,0.3305998742580414
39,0.33176276087760925,0.1637871265411377,0.1726638227701187,0.33178630471229553
40,0.33105847239494324,0.17156416177749634,0.1670895516872406,0.3302878439426422
41,0.2897229790687561,0.17009630799293518,0.24725110828876495,0.29292958974838257
42,0.32709959149360657,0.17119836807250977,0.17414842545986176,0.3275536000728607
43,0.30486300587654114,0.1638219803571701,0.24296078085899353,0.2883542478084564
44,0.3167068660259247,0.15528146922588348,0.20860165357589722,0.3194099962711334
45,0.326281875371933,0.16427266597747803,0.1794338822364807,0.3300115466117859
46,0.3273695111274719,0.16256612539291382,0.19635380804538727,0.313710480928421
47,0.33641237020492554,0.17245256900787354,0.15801997482776642,0.3331151008605957
48,0.3277931809425354,0.16506429016590118,0.18026232719421387,0.32688015699386597
49,0.32457342743873596,0.15649664402008057,0.2414974570274353,0.27743247151374817
50,0.32058048248291016,0.15919964015483856,0.1973079890012741,0.3229118883609772
51,0.334700345993042,0.17233482003211975,0.167626291513443,0.32533857226371765
52,0.3261202871799469,0.16577625274658203,0.18204642832279205,0.3260570466518402
53,0.3550977110862732,0.17262035608291626,0.14089226722717285,0.3313896954059601
54,0.3398028612136841,0.16776221990585327,0.16098903119564056,0.3314459025859833
55,0.3229696452617645,0.1639588177204132,0.18803200125694275,0.3250395655632019
56,0.3134637475013733,0.1896662563085556,0.18167780339717865,0.31519222259521484
57,0.34802916646003723,0.1637454777956009,0.14417049288749695,0.34405481815338135
58,0.3828209340572357,0.1483476459980011,0.2363496869802475,0.23248173296451569
59,0.33133020997047424,0.16607122123241425,0.16484852135181427,0.33775007724761963
60,0.3160344064235687,0.1640625,0.2066369205713272,0.3132661283016205
61,0.3276507556438446,0.1693917065858841,0.17823101580142975,0.32472652196884155
62,0.3294045329093933,0.1662495881319046,0.1711764931678772,0.3331693708896637
63,0.32440507411956787,0.16464553773403168,0.18133461475372314,0.3296147882938385
64,0.32265567779541016,0.16399194300174713,0.19120179116725922,0.3221506178379059
65,0.3340640366077423,0.16447998583316803,0.14111974835395813,0.3603362739086151
66,0.32455670833587646,0.16989140212535858,0.17860223352909088,0.3269496262073517
67,0.3272976875305176,0.1635417342185974,0.18861214816570282,0.320548415184021
68,0.3190246522426605,0.17693284153938293,0.17759165167808533,0.3264508843421936
69,0.3274553716182709,0.17065869271755219,0.18033677339553833,0.3215492069721222
70,0.3223315179347992,0.1684717833995819,0.18662437796592712,0.32257235050201416
71,0.3166598975658417,0.17157524824142456,0.1724599003791809,0.33930495381355286
72,0.32033175230026245,0.16675987839698792,0.1892029494047165,0.3237053453922272
73,0.31369805335998535,0.16240821778774261,0.18409352004528046,0.33980023860931396
